Condition	Freqs	Knowledge	log_RTs	Idiom	Subject	LP	Transparency
Fig	2.39	7	6.1463292577	iets op poten zetten	9	4	3.38
Lit	2.55	5	6.163314804	iets uit de losse pols doen	9	2.27	3.13
Fig	2.53	5	6.1820849067	iets uit de losse pols doen	9	2.27	3.13
Fig	2.81	7	6.0730445341	iets uit je duim zuigen	9	1.95	3.21
Lit	2.4	7	6.0330862218	iets uit je duim zuigen	9	1.95	3.21
Fig	2.26	6	6.3699009828	iets van tafel vegen	9	4.73	3.38
Lit	2.15	6	6.2952660014	iets van tafel vegen	9	4.73	3.38
Fig	3.28	7	6.0730445341	met de rug tegen de muur staan	9	4.81818	3.24
Lit	2.65	7	6.0913098821	met de rug tegen de muur staan	9	4.81818	3.24
Lit	1.95	7	6.1092475828	op het puntje van de tong liggen	9	3.05	3.52
Fig	3.51	7	6.2633982626	op het puntje van de tong liggen	9	3.05	3.52
Lit	2.07	1	6.2146080984	op zijn achterste benen staan	9	2.86	2.62
Fig	2.55	1	6.2146080984	op zijn achterste benen staan	9	2.86	2.62
Lit	3.05	7	6.2324480166	op zijn centen zitten	9	4.68	3.71
Fig	2.23	7	5.9914645471	op zijn centen zitten	9	4.68	3.71
Fig	3.36	7	6.280395839	voor aap staan	9	2.045454545	3.22
Lit	2.76	7	6.3099182782	voor aap staan	9	2.045454545	3.22
Fig	3.02	7	6.2146080984	voor iemand door het vuur gaan	9	3.91	4.18
Lit	1.9	7	6.1820849067	voor iemand door het vuur gaan	9	3.91	4.18
Fig	2.49	6	6.1820849067	één lijn trekken	10	4.73	2.88
Lit	2.43	6	6.4118182677	één lijn trekken	10	4.73	2.88
Fig	2.25	6	6.2146080984	aan een zijden draadje hangen	10	3.73	3.14
Lit	2.47	6	6.2633982626	aan een zijden draadje hangen	10	3.73	3.14
Fig	3.45	7	6.907755279	aan het roer staan	10	4.73	4.6
Lit	3.7	7	6.3261494732	aan het roer staan	10	4.73	4.6
Lit	2.96	5	6.6200732065	als paddenstoelen uit de grond schieten	10	2.27	3.29
Fig	2.66	5	6.1290502101	als paddenstoelen uit de grond schieten	10	2.27	3.29
Fig	2.28	7	6.1290502101	de koe bij de hoorns vatten	10	4.05	3.17
Lit	3.04	7	6.163314804	de koe bij de hoorns vatten	10	4.05	3.17
Fig	2.93	6	6.1092475828	ergens mee in de maag zitten	10	2.86	2.95
Fig	2.13	2	6.2952660014	ergens zijn neus voor optrekken	10	4.23	3.33
Lit	2.22	2	6.3403593037	ergens zijn neus voor optrekken	10	4.23	3.33
Fig	3.58	7	6.2324480166	het niet breed hebben	10	1.95	3.24
Lit	2.42	7	6.4248690239	het niet breed hebben	10	1.95	3.24
Fig	3.81	6	6.1290502101	iemand aan de tand voelen	10	4.45	2.83
Fig	2.73	6	6.2146080984	iemand de wet voorschrijven	10	3.68	3.67
Lit	2.75	6	6.1290502101	iemand de wet voorschrijven	10	3.68	3.67
Fig	1.81	6	6.0330862218	iemand iets in de schoenen schuiven	10	4.05	3.09
Fig	2.68	6	6.6957989171	iemand op de huid zitten	10	3.05	3.38
Lit	2.6	6	6.0913098821	iemand op de huid zitten	10	3.05	3.38
Lit	2.14	6	6.163314804	iemand tegen de schenen schoppen	10	4.73	3.71
Fig	2.7	6	6.2480428745	iemand tegen de schenen schoppen	10	4.73	3.71
Lit	2.7	3	6.280395839	iemand wakker schudden	10	4.77	3.43
Fig	3.81	3	6.4118182677	iemand wakker schudden	10	4.77	3.43
Lit	2.1	5	6.3403593037	iemand/iets tot in de wolken verheffen	10	1.82	3.75
Fig	2.68	5	6.1984787165	iemand/iets tot in de wolken verheffen	10	1.82	3.75
Lit	1.93	6	6.4377516497	iets op poten zetten	10	4	3.38
Fig	2.39	6	6.3699009828	iets op poten zetten	10	4	3.38
Lit	2.55	6	6.1463292577	iets uit de losse pols doen	10	2.27	3.13
Fig	2.53	6	6.2480428745	iets uit de losse pols doen	10	2.27	3.13
Fig	2.81	7	6.3261494732	iets uit je duim zuigen	10	1.95	3.21
Lit	2.4	7	6.1463292577	iets uit je duim zuigen	10	1.95	3.21
Fig	2.26	5	6.2324480166	iets van tafel vegen	10	4.73	3.38
Lit	2.15	5	6.1463292577	iets van tafel vegen	10	4.73	3.38
Fig	3.28	7	6.163314804	met de rug tegen de muur staan	10	4.81818	3.24
Lit	2.65	7	6.1290502101	met de rug tegen de muur staan	10	4.81818	3.24
Lit	1.95	7	6.3261494732	op het puntje van de tong liggen	10	3.05	3.52
Fig	3.51	7	6.2952660014	op het puntje van de tong liggen	10	3.05	3.52
Lit	2.07	6	6.3835066349	op zijn achterste benen staan	10	2.86	2.62
Fig	2.55	6	6.6745613918	op zijn achterste benen staan	10	2.86	2.62
Lit	3.05	7	6.0330862218	op zijn centen zitten	10	4.68	3.71
Fig	2.23	7	6.1092475828	op zijn centen zitten	10	4.68	3.71
Fig	3.36	7	6.4520489544	voor aap staan	10	2.045454545	3.22
Lit	2.76	7	6.4248690239	voor aap staan	10	2.045454545	3.22
Fig	3.02	7	6.3681871864	voor iemand door het vuur gaan	10	3.91	4.18
Lit	1.9	7	6.4377516497	voor iemand door het vuur gaan	10	3.91	4.18
Fig	2.49	4	6.2324480166	één lijn trekken	11	4.73	2.88
Lit	2.43	4	6.2480428745	één lijn trekken	11	4.73	2.88
Fig	2.25	1	6.6644090204	aan een zijden draadje hangen	11	3.73	3.14
Lit	2.47	1	6.5861716549	aan een zijden draadje hangen	11	3.73	3.14
Fig	3.45	6	6.280395839	aan het roer staan	11	4.73	4.6
Lit	3.7	6	6.3099182782	aan het roer staan	11	4.73	4.6
Lit	2.96	1	6.3969296552	als paddenstoelen uit de grond schieten	11	2.27	3.29
Fig	2.66	1	6.1820849067	als paddenstoelen uit de grond schieten	11	2.27	3.29
Fig	2.28	5	6.4520489544	de koe bij de hoorns vatten	11	4.05	3.17
Lit	3.04	5	6.3543700408	de koe bij de hoorns vatten	11	4.05	3.17
Fig	2.93	6	6.280395839	ergens mee in de maag zitten	11	2.86	2.95
Fig	2.13	6	6.7056390949	ergens zijn neus voor optrekken	11	4.23	3.33
Lit	2.22	6	6.907755279	ergens zijn neus voor optrekken	11	4.23	3.33
Fig	3.58	7	7.6009024595	het niet breed hebben	11	1.95	3.24
Lit	2.42	7	6.4118182677	het niet breed hebben	11	1.95	3.24
Fig	3.81	6	6.0520891689	iemand aan de tand voelen	11	4.45	2.83
Fig	2.73	6	6.3403593037	iemand de wet voorschrijven	11	3.68	3.67
Lit	2.75	6	6.5395859556	iemand de wet voorschrijven	11	3.68	3.67
Fig	1.81	6	6.2633982626	iemand iets in de schoenen schuiven	11	4.05	3.09
Fig	2.68	1	6.4118182677	iemand op de huid zitten	11	3.05	3.38
Lit	2.6	1	6.0913098821	iemand op de huid zitten	11	3.05	3.38
Lit	2.14	1	6.3099182782	iemand tegen de schenen schoppen	11	4.73	3.71
Fig	2.7	1	6.2952660014	iemand tegen de schenen schoppen	11	4.73	3.71
Lit	2.7	1	6.3835066349	iemand wakker schudden	11	4.77	3.43
Fig	3.81	1	6.5279579176	iemand wakker schudden	11	4.77	3.43
Lit	2.1	7	6.2952660014	iemand/iets tot in de wolken verheffen	11	1.82	3.75
Fig	2.68	7	6.4118182677	iemand/iets tot in de wolken verheffen	11	1.82	3.75
Lit	1.93	6	6.4769723629	iets op poten zetten	11	4	3.38
Fig	2.39	6	6.7262334024	iets op poten zetten	11	4	3.38
Lit	2.55	3	6.3403593037	iets uit de losse pols doen	11	2.27	3.13
Fig	2.53	3	7.6009024595	iets uit de losse pols doen	11	2.27	3.13
Fig	2.81	7	6.280395839	iets uit je duim zuigen	11	1.95	3.21
Lit	2.4	7	6.0913098821	iets uit je duim zuigen	11	1.95	3.21
Fig	2.26	1	6.907755279	iets van tafel vegen	11	4.73	3.38
Lit	2.15	1	6.1984787165	iets van tafel vegen	11	4.73	3.38
Fig	3.28	7	6.1820849067	met de rug tegen de muur staan	11	4.81818	3.24
Lit	2.65	7	6.3261494732	met de rug tegen de muur staan	11	4.81818	3.24
Lit	1.95	7	6.2952660014	op het puntje van de tong liggen	11	3.05	3.52
Fig	3.51	7	6.0112671744	op het puntje van de tong liggen	11	3.05	3.52
Lit	2.07	6	6.3835066349	op zijn achterste benen staan	11	2.86	2.62
Fig	2.55	6	6.4907235345	op zijn achterste benen staan	11	2.86	2.62
Lit	3.05	7	6.4907235345	op zijn centen zitten	11	4.68	3.71
Fig	2.23	7	6.4520489544	op zijn centen zitten	11	4.68	3.71
Fig	3.36	7	6.2633982626	voor aap staan	11	2.045454545	3.22
Lit	2.76	7	6.3969296552	voor aap staan	11	2.045454545	3.22
Fig	3.02	7	6.2324480166	voor iemand door het vuur gaan	11	3.91	4.18
Lit	1.9	7	6.4520489544	voor iemand door het vuur gaan	11	3.91	4.18
Fig	2.49	4	6.8564619846	één lijn trekken	12	4.73	2.88
Lit	2.43	4	6.5395859556	één lijn trekken	12	4.73	2.88
Fig	2.25	5	6.5147126909	aan een zijden draadje hangen	12	3.73	3.14
Lit	2.47	5	6.5279579176	aan een zijden draadje hangen	12	3.73	3.14
Fig	3.45	7	6.5279579176	aan het roer staan	12	4.73	4.6
Lit	3.7	7	6.6424868014	aan het roer staan	12	4.73	4.6
Lit	2.96	6	6.6424868014	als paddenstoelen uit de grond schieten	12	2.27	3.29
Fig	2.66	6	6.3243589624	als paddenstoelen uit de grond schieten	12	2.27	3.29
Fig	2.28	7	6.3699009828	de koe bij de hoorns vatten	12	4.05	3.17
Lit	3.04	7	6.5147126909	de koe bij de hoorns vatten	12	4.05	3.17
Fig	2.93	5	6.2952660014	ergens mee in de maag zitten	12	2.86	2.95
Fig	2.13	6	6.4377516497	ergens zijn neus voor optrekken	12	4.23	3.33
Lit	2.22	6	6.3543700408	ergens zijn neus voor optrekken	12	4.23	3.33
Fig	3.58	7	6.3099182782	het niet breed hebben	12	1.95	3.24
Lit	2.42	7	6.755768922	het niet breed hebben	12	1.95	3.24
Fig	3.81	6	6.907755279	iemand aan de tand voelen	12	4.45	2.83
Fig	2.73	6	6.4769723629	iemand de wet voorschrijven	12	3.68	3.67
Lit	2.75	6	6.551080335	iemand de wet voorschrijven	12	3.68	3.67
Fig	1.81	6	6.6200732065	iemand iets in de schoenen schuiven	12	4.05	3.09
Fig	2.68	5	6.3543700408	iemand op de huid zitten	12	3.05	3.38
Lit	2.6	5	6.551080335	iemand op de huid zitten	12	3.05	3.38
Lit	2.14	7	6.3543700408	iemand tegen de schenen schoppen	12	4.73	3.71
Fig	2.7	7	6.5279579176	iemand tegen de schenen schoppen	12	4.73	3.71
Lit	2.7	6	6.6093492432	iemand wakker schudden	12	4.77	3.43
Fig	3.81	6	6.5861716549	iemand wakker schudden	12	4.77	3.43
Lit	2.1	6	6.1463292577	iemand/iets tot in de wolken verheffen	12	1.82	3.75
Fig	2.68	6	6.1463292577	iemand/iets tot in de wolken verheffen	12	1.82	3.75
Lit	1.93	6	6.5638555265	iets op poten zetten	12	4	3.38
Fig	2.39	6	6.6320017774	iets op poten zetten	12	4	3.38
Lit	2.55	6	6.3403593037	iets uit de losse pols doen	12	2.27	3.13
Fig	2.53	6	6.4118182677	iets uit de losse pols doen	12	2.27	3.13
Fig	2.81	7	6.5750758406	iets uit je duim zuigen	12	1.95	3.21
Lit	2.4	7	6.4645883037	iets uit je duim zuigen	12	1.95	3.21
Fig	2.26	3	6.4248690239	iets van tafel vegen	12	4.73	3.38
Lit	2.15	3	6.2324480166	iets van tafel vegen	12	4.73	3.38
Fig	3.28	7	6.1984787165	met de rug tegen de muur staan	12	4.81818	3.24
Lit	2.65	7	6.3403593037	met de rug tegen de muur staan	12	4.81818	3.24
Lit	1.95	6	6.3835066349	op het puntje van de tong liggen	12	3.05	3.52
Fig	3.51	6	6.3403593037	op het puntje van de tong liggen	12	3.05	3.52
Lit	2.07	6	6.2952660014	op zijn achterste benen staan	12	2.86	2.62
Fig	2.55	6	6.3099182782	op zijn achterste benen staan	12	2.86	2.62
Lit	3.05	7	6.6424868014	op zijn centen zitten	12	4.68	3.71
Fig	2.23	7	6.3969296552	op zijn centen zitten	12	4.68	3.71
Fig	3.36	7	6.5027900459	voor aap staan	12	2.045454545	3.22
Lit	2.76	7	7.6009024595	voor aap staan	12	2.045454545	3.22
Fig	3.02	7	6.4907235345	voor iemand door het vuur gaan	12	3.91	4.18
Lit	1.9	7	6.8297937375	voor iemand door het vuur gaan	12	3.91	4.18
Fig	2.49	1	6.3261494732	één lijn trekken	13	4.73	2.88
Lit	2.43	1	6.551080335	één lijn trekken	13	4.73	2.88
Fig	2.25	7	6.551080335	aan een zijden draadje hangen	13	3.73	3.14
Lit	2.47	7	6.6957989171	aan een zijden draadje hangen	13	3.73	3.14
Fig	3.45	7	6.3699009828	aan het roer staan	13	4.73	4.6
Lit	3.7	7	6.0730445341	aan het roer staan	13	4.73	4.6
Lit	2.96	6	6.3099182782	als paddenstoelen uit de grond schieten	13	2.27	3.29
Fig	2.66	6	6.280395839	als paddenstoelen uit de grond schieten	13	2.27	3.29
Fig	2.28	6	6.5027900459	de koe bij de hoorns vatten	13	4.05	3.17
Lit	3.04	6	6.2324480166	de koe bij de hoorns vatten	13	4.05	3.17
Fig	2.93	5	6.0913098821	ergens mee in de maag zitten	13	2.86	2.95
Fig	2.13	7	6.070737728	ergens zijn neus voor optrekken	13	4.23	3.33
Fig	3.58	7	6.3099182782	het niet breed hebben	13	1.95	3.24
Lit	2.42	7	6.3835066349	het niet breed hebben	13	1.95	3.24
Fig	3.81	6	6.1290502101	iemand aan de tand voelen	13	4.45	2.83
Fig	2.73	6	6.2633982626	iemand de wet voorschrijven	13	3.68	3.67
Lit	2.75	6	6.1820849067	iemand de wet voorschrijven	13	3.68	3.67
Fig	1.81	5	6.4769723629	iemand iets in de schoenen schuiven	13	4.05	3.09
Fig	2.68	6	6.2633982626	iemand op de huid zitten	13	3.05	3.38
Lit	2.6	6	6.2146080984	iemand op de huid zitten	13	3.05	3.38
Lit	2.14	7	6.2146080984	iemand tegen de schenen schoppen	13	4.73	3.71
Fig	2.7	7	6.2480428745	iemand tegen de schenen schoppen	13	4.73	3.71
Lit	2.7	6	6.2633982626	iemand wakker schudden	13	4.77	3.43
Fig	3.81	6	6.1463292577	iemand wakker schudden	13	4.77	3.43
Lit	2.1	7	6.6846117277	iemand/iets tot in de wolken verheffen	13	1.82	3.75
Fig	2.68	7	6.4118182677	iemand/iets tot in de wolken verheffen	13	1.82	3.75
Lit	1.93	7	6.5750758406	iets op poten zetten	13	4	3.38
Fig	2.39	7	6.2952660014	iets op poten zetten	13	4	3.38
Lit	2.55	5	6.882437471	iets uit de losse pols doen	13	2.27	3.13
Fig	2.53	5	6.4907235345	iets uit de losse pols doen	13	2.27	3.13
Fig	2.81	7	6.3261494732	iets uit je duim zuigen	13	1.95	3.21
Lit	2.4	7	6.1820849067	iets uit je duim zuigen	13	1.95	3.21
Fig	2.26	5	6.3835066349	iets van tafel vegen	13	4.73	3.38
Lit	2.15	5	6.3699009828	iets van tafel vegen	13	4.73	3.38
Fig	3.28	7	6.0913098821	met de rug tegen de muur staan	13	4.81818	3.24
Lit	2.65	7	6.3835066349	met de rug tegen de muur staan	13	4.81818	3.24
Lit	1.95	6	6.1463292577	op het puntje van de tong liggen	13	3.05	3.52
Fig	3.51	6	6.2146080984	op het puntje van de tong liggen	13	3.05	3.52
Lit	2.07	6	6.3403593037	op zijn achterste benen staan	13	2.86	2.62
Fig	2.55	6	6.4377516497	op zijn achterste benen staan	13	2.86	2.62
Lit	3.05	7	6.3099182782	op zijn centen zitten	13	4.68	3.71
Fig	2.23	7	6.4645883037	op zijn centen zitten	13	4.68	3.71
Fig	3.36	7	6.3403593037	voor aap staan	13	2.045454545	3.22
Lit	2.76	7	6.3261494732	voor aap staan	13	2.045454545	3.22
Fig	3.02	7	6.3099182782	voor iemand door het vuur gaan	13	3.91	4.18
Lit	1.9	7	6.6424868014	voor iemand door het vuur gaan	13	3.91	4.18
Fig	2.49	1	6.5147126909	één lijn trekken	14	4.73	2.88
Lit	2.43	1	6.5985090286	één lijn trekken	14	4.73	2.88
Fig	2.25	5	6.7844570626	aan een zijden draadje hangen	14	3.73	3.14
Lit	2.47	5	6.2633982626	aan een zijden draadje hangen	14	3.73	3.14
Fig	3.45	7	6.1268691841	aan het roer staan	14	4.73	4.6
Lit	3.7	7	6.1092475828	aan het roer staan	14	4.73	4.6
Lit	2.96	7	6.4248690239	als paddenstoelen uit de grond schieten	14	2.27	3.29
Fig	2.66	7	6.551080335	als paddenstoelen uit de grond schieten	14	2.27	3.29
Fig	2.28	6	6.5985090286	de koe bij de hoorns vatten	14	4.05	3.17
Lit	3.04	6	6.5027900459	de koe bij de hoorns vatten	14	4.05	3.17
Fig	2.93	5	6.280395839	ergens mee in de maag zitten	14	2.86	2.95
Fig	2.13	1	6.3543700408	ergens zijn neus voor optrekken	14	4.23	3.33
Lit	2.22	1	6.907755279	ergens zijn neus voor optrekken	14	4.23	3.33
Fig	3.58	7	6.3403593037	het niet breed hebben	14	1.95	3.24
Lit	2.42	7	6.3969296552	het niet breed hebben	14	1.95	3.24
Fig	3.81	5	6.2146080984	iemand aan de tand voelen	14	4.45	2.83
Fig	2.73	6	6.3261494732	iemand de wet voorschrijven	14	3.68	3.67
Lit	2.75	6	6.907755279	iemand de wet voorschrijven	14	3.68	3.67
Fig	1.81	5	6.4520489544	iemand iets in de schoenen schuiven	14	4.05	3.09
Fig	2.68	4	6.3261494732	iemand op de huid zitten	14	3.05	3.38
Lit	2.6	4	6.3969296552	iemand op de huid zitten	14	3.05	3.38
Lit	2.14	7	6.1984787165	iemand tegen de schenen schoppen	14	4.73	3.71
Fig	2.7	7	6.5027900459	iemand tegen de schenen schoppen	14	4.73	3.71
Lit	2.7	5	6.2633982626	iemand wakker schudden	14	4.77	3.43
Fig	3.81	5	6.2952660014	iemand wakker schudden	14	4.77	3.43
Lit	2.1	6	6.3261494732	iemand/iets tot in de wolken verheffen	14	1.82	3.75
Fig	2.68	6	6.280395839	iemand/iets tot in de wolken verheffen	14	1.82	3.75
Lit	1.93	7	6.7262334024	iets op poten zetten	14	4	3.38
Fig	2.39	7	6.2146080984	iets op poten zetten	14	4	3.38
Lit	2.55	5	6.0520891689	iets uit de losse pols doen	14	2.27	3.13
Fig	2.53	5	6.4769723629	iets uit de losse pols doen	14	2.27	3.13
Fig	2.81	7	6.1984787165	iets uit je duim zuigen	14	1.95	3.21
Lit	2.4	7	6.4645883037	iets uit je duim zuigen	14	1.95	3.21
Fig	2.26	5	6.3969296552	iets van tafel vegen	14	4.73	3.38
Lit	2.15	5	6.2324480166	iets van tafel vegen	14	4.73	3.38
Fig	3.28	7	6.4118182677	met de rug tegen de muur staan	14	4.81818	3.24
Lit	2.65	7	6.5147126909	met de rug tegen de muur staan	14	4.81818	3.24
Lit	1.95	7	6.4377516497	op het puntje van de tong liggen	14	3.05	3.52
Fig	3.51	7	6.4907235345	op het puntje van de tong liggen	14	3.05	3.52
Lit	2.07	5	6.5027900459	op zijn achterste benen staan	14	2.86	2.62
Fig	2.55	5	6.2633982626	op zijn achterste benen staan	14	2.86	2.62
Lit	3.05	7	6.3403593037	op zijn centen zitten	14	4.68	3.71
Fig	2.23	7	6.5750758406	op zijn centen zitten	14	4.68	3.71
Fig	3.36	7	6.013715156	voor aap staan	14	2.045454545	3.22
Lit	2.76	7	6.3261494732	voor aap staan	14	2.045454545	3.22
Fig	3.02	7	6.1290502101	voor iemand door het vuur gaan	14	3.91	4.18
Lit	1.9	7	6.3403593037	voor iemand door het vuur gaan	14	3.91	4.18
Fig	2.49	4	6.1463292577	één lijn trekken	15	4.73	2.88
Lit	2.43	4	6.3699009828	één lijn trekken	15	4.73	2.88
Fig	2.25	4	6.2952660014	aan een zijden draadje hangen	15	3.73	3.14
Lit	2.47	4	6.1268691841	aan een zijden draadje hangen	15	3.73	3.14
Fig	3.45	7	6.2480428745	aan het roer staan	15	4.73	4.6
Lit	3.7	7	6.3543700408	aan het roer staan	15	4.73	4.6
Lit	2.96	7	6.5147126909	als paddenstoelen uit de grond schieten	15	2.27	3.29
Fig	2.66	7	6.1463292577	als paddenstoelen uit de grond schieten	15	2.27	3.29
Fig	2.28	6	6.280395839	de koe bij de hoorns vatten	15	4.05	3.17
Lit	3.04	6	6.5750758406	de koe bij de hoorns vatten	15	4.05	3.17
Fig	2.93	6	6.013715156	ergens mee in de maag zitten	15	2.86	2.95
Fig	2.13	4	6.2324480166	ergens zijn neus voor optrekken	15	4.23	3.33
Lit	2.22	4	6.5279579176	ergens zijn neus voor optrekken	15	4.23	3.33
Fig	3.58	7	6.5985090286	het niet breed hebben	15	1.95	3.24
Lit	2.42	7	6.907755279	het niet breed hebben	15	1.95	3.24
Fig	3.81	6	6.5861716549	iemand aan de tand voelen	15	4.45	2.83
Fig	2.73	6	6.2146080984	iemand de wet voorschrijven	15	3.68	3.67
Lit	2.75	6	6.5395859556	iemand de wet voorschrijven	15	3.68	3.67
Fig	1.81	5	6.8123450942	iemand iets in de schoenen schuiven	15	4.05	3.09
Fig	2.68	5	6.2146080984	iemand op de huid zitten	15	3.05	3.38
Lit	2.6	5	6.1092475828	iemand op de huid zitten	15	3.05	3.38
Lit	2.14	7	6.0730445341	iemand tegen de schenen schoppen	15	4.73	3.71
Fig	2.7	7	6.7357800142	iemand tegen de schenen schoppen	15	4.73	3.71
Lit	2.7	3	6.3099182782	iemand wakker schudden	15	4.77	3.43
Fig	3.81	3	6.2324480166	iemand wakker schudden	15	4.77	3.43
Lit	2.1	6	6.5638555265	iemand/iets tot in de wolken verheffen	15	1.82	3.75
Fig	2.68	6	6.6424868014	iemand/iets tot in de wolken verheffen	15	1.82	3.75
Lit	1.93	6	6.907755279	iets op poten zetten	15	4	3.38
Fig	2.39	6	6.1463292577	iets op poten zetten	15	4	3.38
Lit	2.55	4	6.4645883037	iets uit de losse pols doen	15	2.27	3.13
Fig	2.53	4	6.6424868014	iets uit de losse pols doen	15	2.27	3.13
Fig	2.81	7	6.755768922	iets uit je duim zuigen	15	1.95	3.21
Lit	2.4	7	6.3261494732	iets uit je duim zuigen	15	1.95	3.21
Fig	2.26	6	6.4907235345	iets van tafel vegen	15	4.73	3.38
Lit	2.15	6	6.4118182677	iets van tafel vegen	15	4.73	3.38
Fig	3.28	7	6.2146080984	met de rug tegen de muur staan	15	4.81818	3.24
Lit	2.65	7	6.1984787165	met de rug tegen de muur staan	15	4.81818	3.24
Lit	1.95	6	6.4248690239	op het puntje van de tong liggen	15	3.05	3.52
Fig	3.51	6	6.0913098821	op het puntje van de tong liggen	15	3.05	3.52
Lit	2.07	1	6.4769723629	op zijn achterste benen staan	15	2.86	2.62
Fig	2.55	1	6.6644090204	op zijn achterste benen staan	15	2.86	2.62
Lit	3.05	7	6.5147126909	op zijn centen zitten	15	4.68	3.71
Fig	2.23	7	6.6528630294	op zijn centen zitten	15	4.68	3.71
Fig	3.36	7	6.2480428745	voor aap staan	15	2.045454545	3.22
Lit	2.76	7	6.7650389768	voor aap staan	15	2.045454545	3.22
Fig	3.02	7	6.7056390949	voor iemand door het vuur gaan	15	3.91	4.18
Lit	1.9	7	6.3835066349	voor iemand door het vuur gaan	15	3.91	4.18
Fig	2.49	3	6.2480428745	één lijn trekken	16	4.73	2.88
Lit	2.43	3	6.1820849067	één lijn trekken	16	4.73	2.88
Fig	2.25	7	6.0913098821	aan een zijden draadje hangen	16	3.73	3.14
Lit	2.47	7	6.1820849067	aan een zijden draadje hangen	16	3.73	3.14
Fig	3.45	6	6.3403593037	aan het roer staan	16	4.73	4.6
Lit	3.7	6	6.163314804	aan het roer staan	16	4.73	4.6
Lit	2.96	4	6.2480428745	als paddenstoelen uit de grond schieten	16	2.27	3.29
Fig	2.66	4	6.0520891689	als paddenstoelen uit de grond schieten	16	2.27	3.29
Fig	2.28	6	6.2633982626	de koe bij de hoorns vatten	16	4.05	3.17
Lit	3.04	6	6.2146080984	de koe bij de hoorns vatten	16	4.05	3.17
Fig	2.93	6	6.2952660014	ergens mee in de maag zitten	16	2.86	2.95
Fig	2.13	5	5.9914645471	ergens zijn neus voor optrekken	16	4.23	3.33
Lit	2.22	5	6.0330862218	ergens zijn neus voor optrekken	16	4.23	3.33
Fig	3.58	7	6.280395839	het niet breed hebben	16	1.95	3.24
Lit	2.42	7	6.2324480166	het niet breed hebben	16	1.95	3.24
Fig	3.81	6	5.80814249	iemand aan de tand voelen	16	4.45	2.83
Fig	2.73	5	6.013715156	iemand de wet voorschrijven	16	3.68	3.67
Lit	2.75	5	6.1820849067	iemand de wet voorschrijven	16	3.68	3.67
Fig	1.81	6	5.9506425526	iemand iets in de schoenen schuiven	16	4.05	3.09
Fig	2.68	3	6.1290502101	iemand op de huid zitten	16	3.05	3.38
Lit	2.6	3	5.9712618398	iemand op de huid zitten	16	3.05	3.38
Lit	2.14	6	6.1820849067	iemand tegen de schenen schoppen	16	4.73	3.71
Fig	2.7	6	6.1984787165	iemand tegen de schenen schoppen	16	4.73	3.71
Lit	2.7	3	6.163314804	iemand wakker schudden	16	4.77	3.43
Fig	3.81	3	6.0520891689	iemand wakker schudden	16	4.77	3.43
Lit	2.1	6	6.0330862218	iemand/iets tot in de wolken verheffen	16	1.82	3.75
Fig	2.68	6	5.9053618481	iemand/iets tot in de wolken verheffen	16	1.82	3.75
Lit	1.93	6	6.2952660014	iets op poten zetten	16	4	3.38
Fig	2.39	6	6.3099182782	iets op poten zetten	16	4	3.38
Lit	2.55	6	6.013715156	iets uit de losse pols doen	16	2.27	3.13
Fig	2.53	6	6.1290502101	iets uit de losse pols doen	16	2.27	3.13
Fig	2.81	7	6.0520891689	iets uit je duim zuigen	16	1.95	3.21
Lit	2.4	7	5.9712618398	iets uit je duim zuigen	16	1.95	3.21
Fig	2.26	5	5.926926026	iets van tafel vegen	16	4.73	3.38
Lit	2.15	5	6.1984787165	iets van tafel vegen	16	4.73	3.38
Fig	3.28	5	5.926926026	met de rug tegen de muur staan	16	4.81818	3.24
Lit	2.65	5	6.0330862218	met de rug tegen de muur staan	16	4.81818	3.24
Lit	1.95	7	6.2324480166	op het puntje van de tong liggen	16	3.05	3.52
Fig	3.51	7	5.9914645471	op het puntje van de tong liggen	16	3.05	3.52
Lit	2.07	6	5.9480349892	op zijn achterste benen staan	16	2.86	2.62
Fig	2.55	6	6.0520891689	op zijn achterste benen staan	16	2.86	2.62
Lit	3.05	7	6.0913098821	op zijn centen zitten	16	4.68	3.71
Fig	2.23	7	6.1463292577	op zijn centen zitten	16	4.68	3.71
Fig	3.36	7	6.1268691841	voor aap staan	16	2.045454545	3.22
Lit	2.76	7	6.2324480166	voor aap staan	16	2.045454545	3.22
Fig	3.02	7	6.0330862218	voor iemand door het vuur gaan	16	3.91	4.18
Lit	1.9	7	6.4377516497	voor iemand door het vuur gaan	16	3.91	4.18
Fig	2.49	1	6.0330862218	één lijn trekken	17	4.73	2.88
Lit	2.43	1	6.2146080984	één lijn trekken	17	4.73	2.88
Fig	2.25	7	6.3969296552	aan een zijden draadje hangen	17	3.73	3.14
Lit	2.47	7	6.4118182677	aan een zijden draadje hangen	17	3.73	3.14
Fig	3.45	7	5.9506425526	aan het roer staan	17	4.73	4.6
Lit	3.7	7	6.7056390949	aan het roer staan	17	4.73	4.6
Lit	2.96	7	6.2480428745	als paddenstoelen uit de grond schieten	17	2.27	3.29
Fig	2.66	7	6.2633982626	als paddenstoelen uit de grond schieten	17	2.27	3.29
Fig	2.28	7	6.3835066349	de koe bij de hoorns vatten	17	4.05	3.17
Lit	3.04	7	6.5395859556	de koe bij de hoorns vatten	17	4.05	3.17
Fig	2.93	6	6.2146080984	ergens mee in de maag zitten	17	2.86	2.95
